geoid,keys,address,city,country,lat,long,name,postalCode,province,websites,address_full
28115,us/ms/pontotoc/191highway15/1780593795,191 Highway 15,Pontotoc,US,34.2558,-89.0186,SONIC Drive In,38863,MS,"http://sonicdrivein.com,https://locations.sonicdrivein.com/ms/pontotoc/191-highway-15.html","KC's School, MS 15, North Junction, Pontotoc, Pontotoc County, Mississippi, 38863, United States"
01055,us/al/gadsden/1008s4thst/-345832572,1008 S 4th St,Gadsden,US,33.998489,-86.005381,Chick-fil-A,35901,AL,http://www.chick-fil-a.com/gadsden,"Chick-fil-A, 1008, South 4th Street, Gadsden, Etowah County, Alabama, 35901, United States"
42069,us/pa/scranton/502n7thave/93075755,502 N 7th Ave,Scranton,US,41.4145,-75.67049,Arby's,18503,PA,"http://www.arbys.com,http://locations.arbys.com","562, North 7th Avenue, Downtown, Scranton, Lackawanna County, Pennsylvania, 18503, United States"
29169,us/mo/saintrobert/421marshalldr/93075755,421 Marshall Dr,Saint Robert,US,37.8138,-92.1416,Arby's,65584,MO,"http://www.arbys.com,https://locations.arbys.com/us/mo/st--robert/421-marshall-dr.html,http://locations.arbys.com/us/mo/st--robert/421-marshall-dr.html","Eastlawn Avenue, Saint Robert, Pulaski County, Missouri, 65584, United States"
21009,us/ky/glasgow/713happyvalleyrd/-861314316,713 Happy Valley Rd,Glasgow,US,37.00903,-85.92107,A&W Restaurant,42141-1543,KY,http://awrestaurants.com,"A&W, Happy Valley Road, Glasgow, Barren County, Kentucky, 42127, United States"
39037,us/oh/greenville/1476wagnerave/93075755,1476 Wagner Ave,Greenville,US,40.125549,-84.620838,Arby's,45331,OH,"https://locations.arbys.com/us/oh/greenville/1476-wagner-ave.html,http://www.arbys.com,http://locations.arbys.com/us/oh/greenville/1476-wagner-ave.html","Arby's, Lease Avenue, Greenville, Darke County, Ohio, 45331, United States"
29037,us/mo/harrisonville/1500nstateroute291/93075755,1500 N State Route 291,Harrisonville,US,38.66443,-94.367578,Arby's,64701,MO,"http://www.arbys.com,https://locations.arbys.com/us/mo/harrisonville/1500-n-state-route-291.html,http://locations.arbys.com/us/mo/harrisonville/1500-n-state-route-291.html","Arby's, MO 291, Harrisonville, Cass County, Missouri, 64701, United States"
21015,us/ky/hebron/2130nbendrd/93075755,2130 N Bend Rd,Hebron,US,39.084998,-84.711389,Arby's,41048,KY,"http://www.arbys.com,https://locations.arbys.com/us/ky/hebron/2130-n-bend-rd.html,http://locations.arbys.com/us/ky/hebron/2130-n-bend-rd.html","Arby's, North Bend Road, Boone County, Kentucky, 41048, United States"
25003,us/ma/northadams/74americanlegiondr/-2061630068,74 American Legion Dr,North Adams,US,42.697462,-73.113245,Burger King,1247,MA,"http://www.bk.com,https://locations.bk.com/ma/north-adams/74-american-legion-dr.html","Burger King, 74, American Legion Drive, North Adams, Berkshire County, Massachusetts, 01247, United States"
39017,us/oh/oxford/2lynnave/93075755,2 Lynn Ave,Oxford,US,39.510229,-84.751315,Arby's,45056,OH,"https://locations.arbys.com/us/oh/oxford/2-lynn-ave.html,http://www.arbys.com,http://locations.arbys.com/us/oh/oxford/2-lynn-ave.html","Arby's, Lynn Avenue, Oxford, Oxford Township, Butler County, Ohio, 45056, United States"
21145,us/ky/paducah/2935jamessandersblvd/93075755,2935 James Sanders Blvd,Paducah,US,37.07622,-88.68415,Arby's,42001,KY,"https://locations.arbys.com/us/ky/paducah/2935-james-sanders-blvd.html,http://www.arbys.com","Arby's, James Sanders Boulevard, Paducah, McCracken County, Kentucky, 42001, United States"
21115,us/ky/paintsville/455mayoplaza/93075755,455 Mayo Plaza,Paintsville,US,37.824098,-82.820317,Arby's,41240,KY,http://www.arbys.com,"The Movies at the Plaza, 449, North Mayo Trail, Paintsville, Johnson County, Kentucky, 41240, United States"
05119,us/ar/northlittlerock/5324johnfkennedyblvd/93075755,5324 John F Kennedy Blvd,North Little Rock,US,34.804346,-92.25266,Arby's,72116,AR,"http://www.arbys.com,https://locations.arbys.com/us/ar/north-little-rock/5324-john-f-kennedy-blvd.html,http://locations.arbys.com/us/ar/north-little-rock/5324-john-f-kennedy-blvd.html","Arby's, 5324, John F Kennedy Boulevard, North Little Rock, Pulaski County, Arkansas, 72120, United States"
01125,us/al/northport/1734mcfarlandblvd/93075755,1734 McFarland Blvd,Northport,US,33.239065,-87.574926,Arby's,35476,AL,"http://www.arbys.com,https://locations.arbys.com/us/al/northport/1734-mcfarland-blvd.html,http://locations.arbys.com/us/al/northport/1734-mcfarland-blvd.html","Arby's, McFarland Boulevard, Northport Corners, Dutton Place, Northport, Tuscaloosa County, Alabama, 35476, United States"
31175,us/ne/ord/1111s2ndst/93075755,1111 S 2nd St,Ord,US,41.59377,-98.91143,Arby's,68862,NE,"https://locations.arbys.com/us/ne/ord/1111-south-2nd-street.html,http://www.arbys.com","2nd Street, Valley County, Nebraska, 68862, United States"
17143,us/il/peoria/3402nuniversityst/93075755,3402 N University St,Peoria,US,40.72892,-89.61232,Arby's,61604,IL,"http://arbys.com,http://www.arbys.com","3380, North University Street, Sunset Hills, Peoria, Peoria County, Illinois, 61604, United States"
27017,us/mn/cloquet/704highway33s/93075755,704 Highway 33 S,Cloquet,US,46.71273,-92.4606,Arby's,55720,MN,"http://www.arbys.com,https://locations.arbys.com/us/mn/cloquet/704-hwy-33-south.html,http://locations.arbys.com/us/mn/cloquet/704-hwy-33-south.html","Walgreens, 215, Doddridge Avenue, Cloquet, Carlton County, Minnesota, 55720, United States"
18183,us/in/columbiacity/540nmainst/93075755,540 N Main St,Columbia City,US,41.167838,-85.484861,Arby's,46725,IN,"http://www.arbys.com,http://arbys.com,http://locations.arbys.com/us/in/columbia-city/540-n-main-st.html","Arby's, Walker Way, Columbia City, Whitley County, Indiana, 46725, United States"
